"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARID5B1",7.90657282613218e-06,0.508131781534984,0.409,0.282,0.169706679140101,"5","ARID5B"
"SF1",1.45808802679217e-05,0.695797433178263,0.274,0.189,0.312964014070671,"5","SF1"
"SF3B1",1.51649619091691e-05,0.69538756155454,0.283,0.195,0.325500742418406,"5","SF3B1"
"SEPT7",3.47067471124046e-05,0.553536877625177,0.274,0.184,0.744945620020652,"5","SEPT7"
"PNRC11",3.52892805338508e-05,0.28753821880385,0.579,0.391,0.757449117378574,"5","PNRC1"
"CLK1",3.78306790383454e-05,0.707061542905209,0.274,0.196,0.811997694879045,"5","CLK1"
"ZFAND52",4.01679778453314e-05,0.46394035529723,0.308,0.202,0.862165476472194,"5","ZFAND5"
"HLA-DPA11",4.94257340279772e-05,0.675911384191242,0.296,0.228,1,"5","HLA-DPA1"
"DDX212",6.53997691149537e-05,0.472006248904889,0.318,0.22,1,"5","DDX21"
"TRA2B",8.02429553412324e-05,0.716509080440091,0.264,0.187,1,"5","TRA2B"
"IFITM22",9.2835925356484e-05,0.328010344236427,0.396,0.262,1,"5","IFITM2"
"IFI162",0.000204854745970391,0.278583445264316,0.327,0.212,1,"5","IFI16"
"KLF61",0.000283097219093054,0.345308071332005,0.852,0.581,1,"5","KLF6"
"HLA-DPB11",0.000581577446442845,0.588857293270363,0.296,0.231,1,"5","HLA-DPB1"
"SRGN1",0.000612933012282838,0.499440828776483,0.387,0.309,1,"5","SRGN"
"KTN12",0.000883410341682236,0.272684083587772,0.283,0.19,1,"5","KTN1"
"LGALS11",0.00179168220811313,0.344267377031565,0.566,0.389,1,"5","LGALS1"
"RSRC21",0.00181369865948349,0.692186076310458,0.252,0.199,1,"5","RSRC2"
"UBE2D32",0.00228133389939626,0.451115924638926,0.296,0.233,1,"5","UBE2D3"
"TOMM7",0.00308108034540338,0.428867117355431,0.324,0.258,1,"5","TOMM7"
"CALM21",0.00308298381551353,0.270917086667842,0.415,0.311,1,"5","CALM2"
"AKAP9",0.00748445988679935,0.603674765916196,0.27,0.225,1,"5","AKAP9"
"COX4I1",0.0090343721815434,0.391975937251827,0.308,0.26,1,"5","COX4I1"
"STMN1",0,2.40116099052127,0.439,0.016,0,"6","STMN1"
"TOP2A",0,2.20722853912778,0.345,0.005,0,"6","TOP2A"
"MKI67",0,2.14430267277113,0.318,0.004,0,"6","MKI67"
"NUSAP1",1.98032272462258e-245,1.75584719328185,0.251,0.006,4.25056469612991e-241,"6","NUSAP1"
"HIST1H4C",1.29885882975499e-152,2.39786937468772,0.529,0.072,2.78787059218611e-148,"6","HIST1H4C"
"HMGB2",9.2372653920585e-53,1.3737635085386,0.298,0.059,1.98268664375144e-48,"6","HMGB2"
"HMGB11",1.25340254383456e-48,1.39048236215592,0.769,0.418,2.6903032200865e-44,"6","HMGB1"
"PTMA3",1.03591062383747e-47,1.01477087499209,0.969,0.811,2.22347856300476e-43,"6","PTMA"
"TUBB",3.09628006691816e-45,1.4362351472223,0.51,0.177,6.64585553563315e-41,"6","TUBB"
"H2AFZ",4.87636026612594e-43,1.34174297373589,0.431,0.132,1.04666196752127e-38,"6","H2AFZ"
"TUBA1B1",5.1712715512994e-39,1.38877696299626,0.541,0.213,1.1099617257709e-34,"6","TUBA1B"
"HMGN2",2.4505043910071e-35,1.31256905390156,0.525,0.217,5.25976262485763e-31,"6","HMGN2"
"ACTB1",2.01311066387664e-27,0.748724191302927,0.933,0.757,4.32094072894482e-23,"6","ACTB"
"ARHGDIB1",1.60378905167068e-20,0.979926811045878,0.314,0.117,3.44237282050594e-16,"6","ARHGDIB"
"ENO11",1.92483392608584e-16,0.898750881769511,0.435,0.225,4.13146353895066e-12,"6","ENO1"
"GAPDH2",2.3816669125955e-16,0.931286091012543,0.6,0.374,5.11200986119497e-12,"6","GAPDH"
"PFN11",4.67051559074194e-16,0.906176876756796,0.486,0.262,1.00247946639685e-11,"6","PFN1"
"SUB1",6.2694557291568e-16,1.06363698435317,0.51,0.294,1.34567597770622e-11,"6","SUB1"
"RPS291",6.48811713033246e-16,0.620184331869347,0.847,0.674,1.39260946085456e-11,"6","RPS29"
"ANP32B",1.04688937787375e-15,0.955098388978606,0.267,0.105,2.24704336066821e-11,"6","ANP32B"
"PPIA2",8.41497554894776e-15,0.787838263115874,0.6,0.39,1.80619035182615e-10,"6","PPIA"
"TMSB102",2.62360874995626e-14,0.655836795643457,0.808,0.612,5.63131382090611e-10,"6","TMSB10"
"ARPC5",1.70856029611513e-13,0.809773222136277,0.294,0.132,3.66725381958151e-09,"6","ARPC5"
"HLA-DQB11",2.2956297079328e-13,0.777639146797625,0.38,0.193,4.92733960510695e-09,"6","HLA-DQB1"
"CD742",2.40919778952445e-12,0.528855643271858,0.824,0.67,5.17110213543529e-08,"6","CD74"
"RPL321",8.61261169283173e-12,0.476899736981813,0.894,0.746,1.8486109737494e-07,"6","RPL32"
"RPS81",5.95978487281849e-11,0.364441063784232,0.949,0.879,1.27920822510176e-06,"6","RPS8"
"ATP5MG",1.22882369595162e-10,0.731871613047469,0.408,0.234,2.63754718099055e-06,"6","ATP5MG"
"SNRPD2",1.83423918739905e-10,0.63981669552226,0.255,0.119,3.93701099183332e-06,"6","SNRPD2"
"LGALS12",2.86221139272786e-10,0.792306403645973,0.561,0.39,6.14345053335107e-06,"6","LGALS1"
"CFL11",3.01252321976395e-10,0.656481563726127,0.529,0.355,6.46607983890134e-06,"6","CFL1"
"LAPTM51",3.5576209515882e-10,0.651395716455117,0.271,0.13,7.63607761048891e-06,"6","LAPTM5"
"HNRNPM",3.65433989079753e-10,0.675298649423066,0.396,0.222,7.84367514160781e-06,"6","HNRNPM"
"UQCRH",6.29153501095458e-10,0.856944757853402,0.286,0.151,1.35041507475129e-05,"6","UQCRH"
"HSPD11",9.32032542762873e-10,0.657996951523333,0.298,0.153,2.00051464978623e-05,"6","HSPD1"
"UQCRQ",9.83652280436329e-10,0.667090185513839,0.322,0.169,2.11131125472854e-05,"6","UQCRQ"
"RPL391",1.3781164527843e-09,0.36639480120137,0.945,0.837,2.95798915425622e-05,"6","RPL39"
"PKM1",1.7767683293228e-09,0.551806772389643,0.357,0.197,3.81365554205845e-05,"6","PKM"
"YBX12",2.59880040834424e-09,0.658249730614688,0.51,0.345,5.57806519647009e-05,"6","YBX1"
"RPL281",3.49294067673693e-09,0.379971434026563,0.82,0.7,7.49724786854816e-05,"6","RPL28"
"SET1",4.26238549254655e-09,0.744758481239228,0.384,0.23,9.14878422120191e-05,"6","SET"
"HLA-DRB11",4.40190562087271e-09,0.511115337163664,0.639,0.477,9.44825022464119e-05,"6","HLA-DRB1"
"SERBP12",6.54713110858027e-09,0.668359523043088,0.447,0.295,0.000140527622114567,"6","SERBP1"
"NUCKS11",7.11342050585242e-09,0.543828842313036,0.431,0.262,0.000152682457737616,"6","NUCKS1"
"LCP11",1.59371240143728e-08,0.661226175729378,0.267,0.139,0.000342074429844498,"6","LCP1"
"TPI11",1.76067356654812e-08,0.534862538440475,0.286,0.149,0.000377910974323889,"6","TPI1"
"RPLP11",1.93505608955386e-08,0.311826599143869,0.988,0.935,0.000415340439061841,"6","RPLP1"
"ATP5F1E1",1.97874039780783e-08,0.61281714412507,0.702,0.56,0.000424716838985473,"6","ATP5F1E"
"RPL351",2.18772739383526e-08,0.596799128989452,0.718,0.574,0.000469573807812799,"6","RPL35"
"HMGN1",2.95058452579217e-08,0.682002593672892,0.29,0.16,0.000633313462616032,"6","HMGN1"
"RPL37A1",3.56948019464588e-08,0.435316382352739,0.8,0.689,0.000766153228978792,"6","RPL37A"
"PSME2",3.91996252525582e-08,0.760508665178568,0.271,0.145,0.000841380756420909,"6","PSME2"
"LYZ1",6.71141259980905e-08,0.515964463986233,0.38,0.229,0.00144053760042301,"6","LYZ"
"RPS191",7.2654280332606e-08,0.426175569242011,0.788,0.642,0.00155945147305906,"6","RPS19"
"HNRNPD",8.44074705415638e-08,0.529700613964111,0.255,0.133,0.00181172194770413,"6","HNRNPD"
"RPL18A1",8.9898582076861e-08,0.38533225516687,0.78,0.622,0.00192958316569774,"6","RPL18A"
"DEK",9.5339244761498e-08,0.649445235986876,0.251,0.136,0.00204636154956079,"6","DEK"
"ACTR3",9.80487135890229e-08,0.519437007414191,0.271,0.143,0.00210451758847479,"6","ACTR3"
"CRIP1",1.01434402330318e-07,0.909627468622154,0.388,0.257,0.00217718801161794,"6","CRIP1"
"GSTP1",1.2041701451059e-07,0.52960017434504,0.333,0.192,0.0025846307994553,"6","GSTP1"
"HLA-DRB51",1.65887723266543e-07,0.54399981709957,0.365,0.223,0.00356061409219309,"6","HLA-DRB5"
"CBX3",1.87381191790456e-07,0.628174834602413,0.31,0.18,0.00402194990059034,"6","CBX3"
"RPS281",2.17197103483099e-07,0.325964336556818,0.906,0.818,0.00466191862916123,"6","RPS28"
"HINT1",2.29827539513153e-07,0.603107597619426,0.333,0.198,0.00493301830811032,"6","HINT1"
"HLA-DRA1",3.02601114350089e-07,0.431631314790293,0.675,0.529,0.00649503031841032,"6","HLA-DRA"
"RPL411",3.38645602997745e-07,0.306323152900512,0.937,0.889,0.00726868922274359,"6","RPL41"
"TMSB4X2",3.87148349436031e-07,0.344825553342957,0.906,0.773,0.00830975217229496,"6","TMSB4X"
